filename	analysis_alias	analysis_accession
4e68058e-d30e-42ef-9758-ec02835d820d/analysis.4e68058e-d30e-42ef-9758-ec02835d820d.GNOS.xml.gz.gpg	4e68058e-d30e-42ef-9758-ec02835d820d	EGAZ00001225722
e4ea1229-1a2f-494a-a706-2859ddd70b4b/analysis.e4ea1229-1a2f-494a-a706-2859ddd70b4b.GNOS.xml.gz.gpg	e4ea1229-1a2f-494a-a706-2859ddd70b4b	EGAZ00001225783
df984226-f26e-4894-a1ea-e0f71d210b27/analysis.df984226-f26e-4894-a1ea-e0f71d210b27.GNOS.xml.gz.gpg	df984226-f26e-4894-a1ea-e0f71d210b27	EGAZ00001225668
5f39b359-c6ba-419f-9014-14e43dade1d4/analysis.5f39b359-c6ba-419f-9014-14e43dade1d4.GNOS.xml.gz.gpg	5f39b359-c6ba-419f-9014-14e43dade1d4	EGAZ00001225816
ec810369-409b-4cb1-b845-98f38a25ea16/analysis.ec810369-409b-4cb1-b845-98f38a25ea16.GNOS.xml.gz.gpg	ec810369-409b-4cb1-b845-98f38a25ea16	EGAZ00001225756
ea07eafb-5f87-4202-b2c0-5cea21192481/analysis.ea07eafb-5f87-4202-b2c0-5cea21192481.GNOS.xml.gz.gpg	ea07eafb-5f87-4202-b2c0-5cea21192481	EGAZ00001225677
be1300f9-4b19-4505-9567-d463ace79765/analysis.be1300f9-4b19-4505-9567-d463ace79765.GNOS.xml.gz.gpg	be1300f9-4b19-4505-9567-d463ace79765	EGAZ00001225796
ac150c6b-d47c-4ef8-b004-9c9e37a00ea8/analysis.ac150c6b-d47c-4ef8-b004-9c9e37a00ea8.GNOS.xml.gz.gpg	ac150c6b-d47c-4ef8-b004-9c9e37a00ea8	EGAZ00001223868
b7675869-0725-48a8-a3b6-da45314b753c/analysis.b7675869-0725-48a8-a3b6-da45314b753c.GNOS.xml.gz.gpg	b7675869-0725-48a8-a3b6-da45314b753c	EGAZ00001225755
407921ec-34d4-4a1d-be59-7489a18a8606/analysis.407921ec-34d4-4a1d-be59-7489a18a8606.GNOS.xml.gz.gpg	407921ec-34d4-4a1d-be59-7489a18a8606	EGAZ00001225687
d74058b2-4e2d-4f7b-b4b1-86589825268e/analysis.d74058b2-4e2d-4f7b-b4b1-86589825268e.GNOS.xml.gz.gpg	d74058b2-4e2d-4f7b-b4b1-86589825268e	EGAZ00001225716
aa114e29-037f-4b5b-8ea6-61b5d042be83/analysis.aa114e29-037f-4b5b-8ea6-61b5d042be83.GNOS.xml.gz.gpg	aa114e29-037f-4b5b-8ea6-61b5d042be83	EGAZ00001223866
ea726d4d-a211-4b5a-a452-cf3889031fed/analysis.ea726d4d-a211-4b5a-a452-cf3889031fed.GNOS.xml.gz.gpg	ea726d4d-a211-4b5a-a452-cf3889031fed	EGAZ00001223900
d812a615-f8bd-4f06-8711-4c5d8c6d18de/analysis.d812a615-f8bd-4f06-8711-4c5d8c6d18de.GNOS.xml.gz.gpg	d812a615-f8bd-4f06-8711-4c5d8c6d18de	EGAZ00001225814
09012a8a-64ad-418b-95ef-1561f6a5c0b4/analysis.09012a8a-64ad-418b-95ef-1561f6a5c0b4.GNOS.xml.gz.gpg	09012a8a-64ad-418b-95ef-1561f6a5c0b4	EGAZ00001225672
af661595-1c6c-4706-97e1-e5c0ba92d3d7/analysis.af661595-1c6c-4706-97e1-e5c0ba92d3d7.GNOS.xml.gz.gpg	af661595-1c6c-4706-97e1-e5c0ba92d3d7	EGAZ00001225697
f8dededb-60cd-4659-a855-b03fdc2429f0/analysis.f8dededb-60cd-4659-a855-b03fdc2429f0.GNOS.xml.gz.gpg	f8dededb-60cd-4659-a855-b03fdc2429f0	EGAZ00001225748
6411866b-8081-422c-bb26-de7f0e993121/analysis.6411866b-8081-422c-bb26-de7f0e993121.GNOS.xml.gz.gpg	6411866b-8081-422c-bb26-de7f0e993121	EGAZ00001223818
7d7b7445-66f0-4639-8364-d89f209ea59f/analysis.7d7b7445-66f0-4639-8364-d89f209ea59f.GNOS.xml.gz.gpg	7d7b7445-66f0-4639-8364-d89f209ea59f	EGAZ00001225719
6248c19f-6319-438a-b15a-e273ef796c72/analysis.6248c19f-6319-438a-b15a-e273ef796c72.GNOS.xml.gz.gpg	6248c19f-6319-438a-b15a-e273ef796c72	EGAZ00001225737
f20f03c4-3613-419f-9571-c2430a23a668/analysis.f20f03c4-3613-419f-9571-c2430a23a668.GNOS.xml.gz.gpg	f20f03c4-3613-419f-9571-c2430a23a668	EGAZ00001225775
78300f35-b394-425a-8f36-dfd90b6feb56/analysis.78300f35-b394-425a-8f36-dfd90b6feb56.GNOS.xml.gz.gpg	78300f35-b394-425a-8f36-dfd90b6feb56	EGAZ00001225813
389646cb-bf62-43bb-8348-cca0995b3501/analysis.389646cb-bf62-43bb-8348-cca0995b3501.GNOS.xml.gz.gpg	389646cb-bf62-43bb-8348-cca0995b3501	EGAZ00001225745
bf2b804c-87ab-4153-8204-796b76277717/analysis.bf2b804c-87ab-4153-8204-796b76277717.GNOS.xml.gz.gpg	bf2b804c-87ab-4153-8204-796b76277717	EGAZ00001225731
079754fc-93ae-4796-8c33-bfb022aaaad1/analysis.079754fc-93ae-4796-8c33-bfb022aaaad1.GNOS.xml.gz.gpg	079754fc-93ae-4796-8c33-bfb022aaaad1	EGAZ00001225688
6e681780-f7f3-4a4c-a136-a04d96bfdf38/analysis.6e681780-f7f3-4a4c-a136-a04d96bfdf38.GNOS.xml.gz.gpg	6e681780-f7f3-4a4c-a136-a04d96bfdf38	EGAZ00001223826
9431e9af-5e9d-4faf-99bf-0322075bd91c/analysis.9431e9af-5e9d-4faf-99bf-0322075bd91c.GNOS.xml.gz.gpg	9431e9af-5e9d-4faf-99bf-0322075bd91c	EGAZ00001223846
4b75c0a5-ddf7-43c8-b026-855d867f534e/analysis.4b75c0a5-ddf7-43c8-b026-855d867f534e.GNOS.xml.gz.gpg	4b75c0a5-ddf7-43c8-b026-855d867f534e	EGAZ00001223799
fb8b7ca0-86be-4b72-888e-5345ab2ec25f/analysis.fb8b7ca0-86be-4b72-888e-5345ab2ec25f.GNOS.xml.gz.gpg	fb8b7ca0-86be-4b72-888e-5345ab2ec25f	EGAZ00001225744
fb3216f5-4360-404c-81d5-cc2a157554cb/analysis.fb3216f5-4360-404c-81d5-cc2a157554cb.GNOS.xml.gz.gpg	fb3216f5-4360-404c-81d5-cc2a157554cb	EGAZ00001225829
edb0fea7-0f3d-48be-9517-ffcabf06b29a/analysis.edb0fea7-0f3d-48be-9517-ffcabf06b29a.GNOS.xml.gz.gpg	edb0fea7-0f3d-48be-9517-ffcabf06b29a	EGAZ00001223901
f5c96cc5-3160-4a50-81ea-2f81c01362c0/analysis.f5c96cc5-3160-4a50-81ea-2f81c01362c0.GNOS.xml.gz.gpg	f5c96cc5-3160-4a50-81ea-2f81c01362c0	EGAZ00001225780
de89e66e-5bda-4486-9195-b11c483060e4/analysis.de89e66e-5bda-4486-9195-b11c483060e4.GNOS.xml.gz.gpg	de89e66e-5bda-4486-9195-b11c483060e4	EGAZ00001223894
47ef5519-7fdd-4c99-bbba-7b10f7c09329/analysis.47ef5519-7fdd-4c99-bbba-7b10f7c09329.GNOS.xml.gz.gpg	47ef5519-7fdd-4c99-bbba-7b10f7c09329	EGAZ00001223797
